content_hash_id,action_score,reason_code,action_label
content_752316700abdef3c,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_fb1764b33ee65dd9,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_b3df4c79f98d291b,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_67fde9cee3af1043,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_2bcf25fbec5e873e,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_d23d9049462967f7,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_88de95ed6b19de7c,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_c452889ab4067f02,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_3ea972b5a9d08f74,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_f0f3ff7efa8da862,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_49a09a30fb98186e,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_45b17a92a6eb592d,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_f304e8ff9e24c6b5,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_703edaeff1d71af2,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_74b89511b9983b09,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_0db0eb6c98d85090,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_fecf6dfb93da7a37,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_6c4086966711d653,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_d40df886d8a86fa4,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_65c41e52e575cf16,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_1cc87476871fc8c3,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_e2cb58333e92076d,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_02901c894dd4d68b,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_2bd81107100f6553,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_fb7b36d9ac8ee3ef,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_1a6640fe3e3955c5,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_271a45e959bfc1fc,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_7bb0ee5a5fa29c0b,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_01fa05185fca3815,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_9b8364fdbfb54a15,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_e6b728157306b5c2,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_8a7bf31bc1939ff0,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_7935d10033abc03a,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_05ae683c527dc32d,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_04ddb7b3c4bf8000,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
